Txn Hash,Method,Block,Date Time (UTC),From,Is SELF,To,Value (ETH),Txn Fee
0xec508a8a28c7203f84b90e85c3e30258bfc2fa258e7b6f82813587e788ed4607,Transfer,19384544,2024-03-07 16:39:23,0x0f420b24...c9B0f56D6,False,0x4A96eCf6...cce2f86Dc,0.140068348,0.00167445
0xdeec7e6cfb414361840bc73e003ce9a66cfd19647a8d04717c04a26d3796c926,Transfer,19384544,2024-03-07 16:39:23,0xAeC4a7cc...A54ceF0e7,False,0x35088ECE...f2B42A9d6,0.7,0.00397132
0xa54955b678071162b29df300291a04c3e7c3401e1becfffe4d82b7a022d3cf90,Stake,19384544,2024-03-07 16:39:23,0x94eCE133...222908a3d,False,0xDC646D14...97b31AD7c,0.0,0.01580757
0xdc8478bcb9538acb5bc7224763d4648de4c85ab36c6d790219ed624fd24d651b,Approve,19384544,2024-03-07 16:39:23,0xf1d02722...b3940c378,False,Worldcoin: WLD Token,0.0,0.00371234
0x71a44a2bd63ad877712144b51d1e6a40e0784ccbd84d17bf0fd57590426bd4e7,Transfer,19384544,2024-03-07 16:39:23,0xA9a7AD5C...d6B9f2195,False,0x00d0178d...b58Ed2d54,0.046902312,0.00167445
0x4659439e2e7398707a996a8af7dc9d9412fa9871a5f01f8d4b986ebc30c6c675,Transfer,19384544,2024-03-07 16:39:23,0x94B1a364...2F68A507E,False,Shiba Inu: SHIB Token,0.0,0.00375707
0xae8cdd3edf199b5e1c483f9bc9f2ded35d7abaf64dea5c08aae057c44ea08be4,Redlist Sale Min...,19384544,2024-03-07 16:39:23,0x8ee83992...E8a92e2B2,False,XOCIETY: XCF Token,0.0,0.01331821
0x618addc4950f9b05957ae0d37b9d6f555aea3c6986d6f1e851a0560fded11c63,Stake,19384544,2024-03-07 16:39:23,0x08c3A0ea...28F9cE85D,False,0x37A5d562...4F3F78917,0.0,0.00852696
0x7521917b57a01fa1a21068bb1cb0ac2da297cb0069fb6c3df10081c1a501b1f4,Transfer,19384544,2024-03-07 16:39:23,0x42d3f252...83a99B900,False,0x408268EA...384FA3b45,0.902,0.00167445
0xd18208948a89f59c0a86a53f2bfa1db3425bd33d916eb7b659a6a3928a1c2e37,Transfer,19384544,2024-03-07 16:39:23,0xb76CcBA4...59f6C69E0,False,Tether: USDT Stablecoin,0.0,0.00503907
0x0dcc209d9fb78ff5542f4fa8eaf424b16d6fae224ee2e45d8751416f9b0b9681,Transfer,19384544,2024-03-07 16:39:23,0x921666DA...3f4745476,False,Circle: USDC Token,0.0,0.0049634
0x7350e82c6155520a1c2151bd2215f25cbabaeb4adae6921cdd31de3f7aa32603,Transfer,19384544,2024-03-07 16:39:23,0x94fFA7A9...FA084dDCC,False,0x4A96eCf6...cce2f86Dc,0.169172883,0.00167445
0x03203642364e8d2c9219f4f37f88bb22377721e3e659dcef45a7c0bea8b13897,Withdraw,19384544,2024-03-07 16:39:23,0xf319AD2A...d8FA2aE61,False,Wrapped Ether,0.0,0.00280798
0x22ddd9dd6b568a7353ead1110d56bb57e3f1d3fd6ab21806af51e013af3b32e1,Redlist Sale Min...,19384544,2024-03-07 16:39:23,0x6d91C2A7...18EE7D308,False,XOCIETY: XCF Token,0.0,0.01331821
0xa24a8081382b8e28bdefb54a48b183cfbc64d8e50d07e085ff0b60457502662b,Mint,19384544,2024-03-07 16:39:23,0x33662e2a...56Fd57B31,False,0x00000000...3A8B5AE73,0.06,0.01289282
0x286a485b9896621dd7d0f8f6ec279bbb0517b94ab07c62f1ff637356c528f1ff,Execute,19384544,2024-03-07 16:39:23,0xcA0788F1...595e8E3BB,False,Uniswap: Universal Router,0.1,0.01253991
0x4afecf60dfc8b53d639478a490e657a6b76e1e34103089e033acf26b97ab02c1,Execute,19384544,2024-03-07 16:39:23,0xea7fe8B5...3aFb1906F,False,Uniswap: Universal Router,0.275,0.01591266
0x7da4a7647f79c00684959c64a7e0e0a349f195663ef611e4d8b517ca51d18985,Buy Tokens Farme...,19384544,2024-03-07 16:39:23,0xB84404f7...917B8840f,False,0xd34C8A5c...7e172Ec0E,0.039125365,0.0095113
0x1d13b240075cdaaadeebdfbf4d0e3dec8be00214b0e3f0e4d028680076eb9de4,Execute,19384544,2024-03-07 16:39:23,0xEc2076ae...C84aEC750,False,Uniswap: Universal Router,1.8,0.01390244
0xcb7ef7cbe312e2e17da50029d00ea77bd85a04cc8d0c25e2b387d23cb06e76f9,Execute,19384544,2024-03-07 16:39:23,0x58983172...90cCAD8d6,False,Uniswap: Universal Router,0.08,0.01369935
0x73d0b3dfe06cf26ee6f2142972b04f11e96ec043836d3c588de9f396e422edc0,Execute,19384544,2024-03-07 16:39:23,0x76fF58b2...5ddEE4848,False,Uniswap: Universal Router,0.0,0.01391918
0xa1faf2ab6e1a95132c27d5ce8e0dec2ad93aafb671bcb52ea550c0f553faf3a6,Execute,19384544,2024-03-07 16:39:23,0xefA7Ff0d...36Eb9C624,False,Uniswap: Universal Router,0.0,0.01290877
0x9653acec8c2185e053770cad3b68538edf61bc0f15831f3e28f753dfdb722599,Execute,19384544,2024-03-07 16:39:23,0xc8e3E636...E99eCf625,False,Uniswap: Universal Router,0.0,0.02258257
0x730361e07f5ba7ceb52cfb93ffdd13147a771c6121ccba88ae2798d9418092e6,Execute,19384544,2024-03-07 16:39:23,0xBe1925df...Db52457Af,False,Uniswap: Universal Router,0.0,0.01350073
0xf95bd4d6fb5b50386252a85fb4c55e9de30f22801980d5444a3cd89442507290,Execute,19384544,2024-03-07 16:39:23,0x1426E686...aE9123429,False,Uniswap: Universal Router,0.0,0.01967117
0x5d370d1016454984b9769fa1e919418c81e59feaa4f64d3c81fa6d0f488e7b30,Execute,19384544,2024-03-07 16:39:23,0x76d3B93c...dAf286d94,False,Uniswap: Universal Router,0.0,0.01876728
0x362984fe42518d3dc2af630d42963782e7cd8b582a007ad3ea5b816162def553,Execute,19384544,2024-03-07 16:39:23,0x3E7F6Dd4...dA6B87987,False,Uniswap: Universal Router,0.0,0.01708151
0x6409dfc432da47f3f5ed0d371504508794804456d97992a1d576dc2d4328e6e8,Execute,19384544,2024-03-07 16:39:23,0x4cf792B7...9Ab4e4110,False,Uniswap: Universal Router,0.55,0.01219752
0xec1bb339ecb8e1f07b180eb1971d4f21995c3757eb01ae67d010ae6c1860bf16,Transfer,19384544,2024-03-07 16:39:23,0x0339f82B...3B7BC7296,False,0x0658c87D...3032bA6A2,0.009575723,0.00167445
0xf6534fb5ea4ff027d1a7f164d55a86829691f8df8637602ed92c5fe6a25415dd,Swap,19384544,2024-03-07 16:39:23,0xD6BfD5C7...eC8324b19,False,1inch v5: Aggregation Router,0.78,0.00685873
